n,date,at_block_id,era,block_hash,eras_total_stake,total_issuance,number_of_parachains
1,2023-10-26,17897690,1242,0x64d2308580f1249c61d3f860f5e4283ea0e30f61707267b4d8df1cec9864549e,6813275300262266541,13709392662208413978,50
128,2024-03-01,19716709,1369,0x27df8e636cd90cb510f9111475e3835b79dc8c07eeb931e9f35054411efa6e97,7436093164020887077,14170386441190993164,49
300,2024-06-10,21153850,1469,0x590f8c13d04f2d5e7418feeb0425457a4bdf47c0bbf267707751601e46ac0ef8,8344246732876192921,14501796550452772575,50
